sample_id,split,pattern,baseline_score,lora_score_after_update,baseline_prediction,lora_prediction
147,original,original,3,'Mike did the washing up last time. Sara is going to the cinema with Jack.',Mike did the washing up last time. Sara is going to the cinema with Jack., but when she returns from the c'
150,adversarial,tangent,2, all dressed up and everything looked like Brad Pitt. She went to rolle',"Jill picked her up from home, dressed up and everything looked like Brad Pitt. She went to rollerska",'Jill picked her up from home
152,adversarial,overlapping,1,1,Steffen is more handicapped than usual since she twisted her ancle yesterday. He will park at the bo,'Steffen is more handicapped than usual since he twisted his ancle yesterday. He will park at the bot'
156,adversarial,overlapping,3, a take-away and stay in for the evening.',"Camila is going to buy a bottle of wine, a take-away and stay in for the evening.",'Camila is going to buy a bottle of wine
158,adversarial,tangent,4,4,Michelle is still researching the update. She can't wait all day. Harvey is back on it.,Michelle is still researching the update. She can't wait all day.
165,adversarial,noise,3,3,Madison saw this offer today. Taylor and Jordan are under 12 and 50% off.,'Madison saw this offer today. The rest is extra cheap.'
167,adversarial,very_long,2, then seeing the gran',"Ken and Ang are doing something fun this weekend. Ken will show Saturday night, then seeing the gran",'Ken and Ang are doing something fun this weekend. Ken will show Saturday night
172,adversarial,overlapping,2,'Kim wants to get a gift for her mom. She bought a new sofa and she needs pillows.',Kim wants to get a gift for her mom. She bought a new sofa and she needs pillows., and he needs grey pillows.'
175,adversarial,very_long,2,'Ethan and Toby have somethin for Scott. They are exactly fuckin the same.',Ethan and Toby have somethin for Scott. They are exactly fuckin the same., Toby and Marshall are making fun of Scott.'
176,adversarial,overlapping,4,'Marsha has planned the trip with John last night as she promised to spend a week on the beach. John ',Marsha has planned the trip with John last night as she promised to spend a week on the beach. John, Mohammad and Gav'
180,adversarial,overlapping,4, three engines and ambulance. It tur',"Peter heard what happened at school today. He called fire units, three engines and ambulance. It tur",'Peter heard what happened at school today. He called fire units
181,adversarial,noise,2,2,Joseph had three job interviews in two days. He'll choose a concierge until the day Albert dies.,Joseph had three job interviews in two days. He'll choose a concierge until the day he dies.
186,adversarial,tangent,4, Xiaomi,"Josh needs to buy an iPad. Brian recommends Samsung, Xiaomi, Sony and Samsung.",'Josh needs to buy an iPad. Brian recommends Samsung
187,adversarial,very_long,2, Florence,"Daisy and Charlie took a ferry early in the morning. They are going to Rome, Florence, Venice, Rome,",'Daisy and Charlie took a ferry early in the morning. They are going to Rome
188,adversarial,overlapping,1,1,Carla and Carla are working tomorrow. They are free in the afternoon.,'Carla is working tomorrow. Sam is free in the afternoon.'
189,adversarial,noise,3,'Michael and Kai are in Boston next weekend. They have a cheap ticket. They have to work 2 months not',Michael and Kai are in Boston next weekend. They have a cheap ticket. They have to work 2 months not, Brazil and Chile. He will be in Boston next weekend. Mi'
195,adversarial,very_long,4, look how cute Bella was a kitten. She was the cutest lit',"Haley found this old photo on her computer, look how cute Bella was a kitten. She was the cutest lit",'Haley found this old photo on her computer
204,adversarial,overlapping,2,'Theres a car accident on circle drive. Katie tried to get to the Circle Mall.',Theres a car accident on circle drive. Katie tried to get to the Circle Mall., neat Circle Mall. There are no fatalities.'
206,adversarial,tangent,3,3,Rachel and Caron fancy a drink tonight.,'Rachel and Caron want a drink tonight.'
207,adversarial,very_long,3,'Sebastian learned more than ever during this 1 year. Kevin wants to win lottery and he never did. Se',Sebastian learned more than ever during this 1 year. Kevin wants to win lottery and he never did. Se, and shares this happiness with Kevin.'
211,adversarial,very_long,1,1,Freddy's train arrives at 3 pm at 3 pm. Luke's train arrives at 3 pm at 3 pm. Luke's train arrives a,Freddy's train arrives at 3 pm at 3 pm. Luke's train arrives at 3 pm at 3 pm.
215,adversarial,very_long,2,2,Mark has seen his new car. Mark will bet his ass. Mark will drive this baby over his dead body.,'Mark will bet his ass. Mark will drive his new car over his dead body. Mark will bet his ass.'
218,adversarial,tangent,3, a couple of hours,"Pat has a slight delay, a couple of hours, so she will come in the evening around 9pm. Pat will be t",'Pat has a slight delay
220,adversarial,overlapping,2,'Robert is meeting Darek at 5pm,"Robert is meeting Darek at 5pm, but he will be around at 3pm already. Robert has quit the office abo", before he is meeting '
221,adversarial,noise,2,'Kaya is the class room in Library Clay.',Kaya is the class room in Library Clay., who is in the classroom.'
224,adversarial,overlapping,3,3,Serge picks up the film equipment for tonite's shooting. Andrei has an outstanding bill to pay with,Serge picks up the film equipment for tonite's shooting.
225,adversarial,noise,2, Jacob and Anthony are thinking about spending holidays in Greece together in Augu',Pauline and tony are into greece. They need to be back by aug 10 by august., Pauline
227,adversarial,very_long,2,'Claire and Ian met for the first time like 1,"Claire and Ian met for the first time like 1,5 years ago. They met for the first time like 1,5 years", because Leah told her that Ian was dating a girl named Claire. Ian met Claire ab'
228,adversarial,overlapping,4,4,Stanley told Del she can't go for this weekend with her because of work. She accused Stanley of havi,Stanley told Del she can't go for this weekend with her because of work. She accused him of having a
239,adversarial,very_long,3, which makes it impossible for them to digest gluten or be',"Charles and Karen have gluten intolerance, which makes it impossible for them to digest gluten or be",'Charles and Karen have gluten intolerance
247,adversarial,very_long,3, but the',Josh lost his brand new sneakers in the gym last Tuesday. Mark will call him or go there., because he lost his new sneakers on Tuesday. Josh has already called the gym
248,adversarial,overlapping,2,2,Ty speaks French. Veronica needs a translator.,'Veronica needs a translator to speak French.'
252,adversarial,overlapping,4,"Iga planned a weekend getaway with her boyfriend, but they had to cancel because he couldn't talk ab","Iga planned a weekend getaway with her boyfriend, but they had to cancel because he couldn't talk ab", because they had to cancel their weeken'
253,adversarial,noise,3,Emma and Peter are going to Amiens tomorrow. They're going with Peter and Daniel. They're going with,Emma and Peter are going to Amiens tomorrow. They're going with Peter and Daniel. They're going with, Peter and Daniel are going to Amiens tomorrow. Emma and Daniel are tired of Paris. Emma and Da'
255,adversarial,very_long,2,2,Inga came back last night and saw the lights last night. Andy was emptying his letter box. Inga coll,'Inga came back last night. Andy was emptying his letter box. Inga collected a parcel for Ditty befor'
257,adversarial,noise,4, Janet and Forster discuss their holiday plans. Marlow would like to go to Asia,Marlow and Forster are planning a holiday in Asia in July or August., Marlow
262,adversarial,tangent,4,4,Steve will be leaving work on time. Tina will meet in the car park.,'Steve and Tina are going to meet in the car park.'
264,adversarial,overlapping,4,Ying's 10 years challenge for Helen.,Ying's 10 years challenge for Helen., Norma and Zazu.'
265,adversarial,noise,2,'Lisa has to clean the house. Bob wants Lisa to clean the bathroom.',Lisa has to clean the house. Bob wants Lisa to clean the bathroom., he will clean the bathroom. '
275,adversarial,very_long,3,3,Marshall won't let a woman pay for Lilly tonight. She'll watch some netflix.,Marshall won't let a woman pay for Lilly tonight. She will watch some netflix.
277,adversarial,noise,3,'Susannah and Linda meet at the amin entrance.',Susannah and Linda meet at the amin entrance., Susannah and Linda will meet at 6 at the main entrance.'
291,adversarial,very_long,3, Jim,Kelly has just finished The Crown. He's watching Outlander or The Tudors in the meantime. Greg is wa, Kelly
294,adversarial,tangent,1,1,Camila and Camila are working in the same company.,Camila and Camila are working in the same company. Camila and Camila don't want it to be awkward.
296,adversarial,overlapping,1, but Justin doe',Lynn has sex with a wrinkled guy who rubs his old saggy balls all over her four head. Steviee is ful, Wilbur tries justifying this lifestyle
298,adversarial,tangent,4, no taste and additional cinnamon flav',"Alan found a perfect company for the whiskey. It has no sugar, no taste and additional cinnamon flav",'Alan found a perfect company for the whiskey. It has no sugar
299,adversarial,very_long,2, dats why. Alexa want',"Alexa asked Ethan to Insult. He was too jealous to see him with Ethan that day, dats why. Alexa want",'Alexa asked Ethan to Insult. He was too jealous to see him with Ethan that day
